1,24529496,
1,10309187,
1,30962481,
2,51259389,
2,13399617,2.48
2,13925175,1.44
3,10315052,
3,10291058,
3,10291059,
4,10308898,
4,32576181,
4,10535032,
5,10315287,
5,138905992,
5,10535033,
6,44981960,
6,44662573,
6,25120110,
7,10448936,
7,25120110,
8,10450339,
8,15556068,
9,15716473,
9,19400150,
9,10307387,
10,15240648,
10,108679391,
10,10315929,
11,10311311,
11,19802852,
11,10535106,
12,10447842,1.94
12,107507562,
13,10449231,
13,44391066,
13,10295249,
14,10450119,1.07
14,10450114,1.78
14,54082912,
15,39080798,1.98
15,49913338,2.78
15,21128460,
16,16504401,2.5
16,11047612,2.26